2020/11/04 09:03:32 [error] 7#7: *559 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:04:37 [error] 7#7: *568 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:05:24 [error] 7#7: *605 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:05:26 [error] 7#7: *605 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:05:26 [error] 7#7: *604 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:05:28 [error] 7#7: *604 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:06:52 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:06:53 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:06:54 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:06:56 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:06:58 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:00 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:02 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:04 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:06 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
